_id,Hệ điều hành,Bộ vi xử lý,Hãng sản xuất,image_url,product_name,Cân nặng,VGA,price,product_url,device,"Bảo mật, công nghệ",Giao tiếp mạng,Card Reader,Kích thước (rộng x dài x cao),Bộ nhớ trong,Ổ cứng,Màn hình,Ổ quang,Dung lượng tối đa,Giao tiếp không dây,Cổng giao tiếp,Chủng loại,Số khe cắm,Mầu sắc,Part Number,Chipset,Phụ kiện đi kèm,ram
62a5d5695e7f53608f8c7ebf,win 11,core ™ i5-1135g7,laptop dell,https://anphat.com.vn/media/product/75_40335_,laptop dell inspiron 15 3511d p112f001dbl (core ™ i5-1135g7 | 4gb | 512gb | intel® uhd | 15.6-inch fhd | win 11 | office | đen),1.83 kg,intel® uhd,16890000,https://www.anphatpc.com.vn/laptop-dell-inspiron-15-3511d-p112f001dbl.html,laptop,"bàn phím tiêu chuẩn, có bàn phím số",,1 sd media card reader,"height: 18.0 mm – 19.9 mm (0.71"" – 0.78"")width: 363.96 mm (14.33"")depth: 249 mm (9.80"")",512gb,,15.6-inch fhd,không có,4gb,802.11ac 1x1 wifi,2 usb 3.21 usb 2.0,dell inspiron 15 3511d p112f001dbl,-,office,,,,4gb
62a5d56a5e7f53608f8c7ec0,win 11,core™ i3-1005g1,laptop hp,https://anphat.com.vn/media/product/75_41177_laptop_hp_240_g8_617k5pa__1_.jpg,laptop hp 240 g8 617k5pa (core™ i3-1005g1 | 4gb | 256gb | intel® uhd | 14 inch fhd | win 11 | bạc),1.47 kg,intel® uhd,11190000,https://www.anphatpc.com.vn/laptop-hp-240-g8-617k5pa.html,laptop,bàn phím tiêu chuẩn,realtek rtl8111hsh-cg 10/100/1000 gbe nic,-,32.4 x 22.59 x 1.99 cm,256gb,,14 inch fhd,không có,4gb (1 x 4gb),intel® 802.11a/b/g/n/ac (1x1) wi-fi®,2 super speed usb type-a 5gbps signaling rate; 1 superspeed usb type-c® 5gbps signaling rate,hp 240 g8 617k5pa,2 khe,bạc,,,,4gb
62a5d56a5e7f53608f8c7ec1,macos,apple m1 chip with 8‑core cpu and 8‑core gpu,laptop apple,https://anphat.com.vn/media/product/75_35518_thumb650_macbook_pro_13_retina_late_2020_1.jpg,laptop apple macbook pro 13 inch touch bar myd82sa/a space grey (apple m1),1.4 kg,,29890000,https://www.anphatpc.com.vn/laptop-apple-macbook-pro-13-inch-touch-bar-myd82sa-a-space-grey_id35518.html,laptop,bàn phím tiêu chuẩn,,,ngang 30.41 x dày 1.56 x sâu 21.24 cm,8gb unified memory,256gb ssd,13.3-inch (diagonal) led-backlit display with ips technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors,không có,,802.11ax wi-fi 6 wireless networking  ieee 802.11a/b/g/n/ac compatible,2 thunderbolt / usb 4 ports with support for:chargingthunderbolt 3 (up to 40gb/s)* usb 3.1 gen 2 (up to 10gb/s),macbook pro 13 inch touch bar myd82sa/a space grey,,space grey,,,,
62a5d56a5e7f53608f8c7ec2,win 11,core i7-1165g7,laptop hp,https://anphat.com.vn/media/product/75_38863_laptop_hp_pavilion_14_dv0534tu_4p5g3pa_core_i7_1165g7_chinh_hang.png,laptop hp pavilion 14-dv0534tu 4p5g3pa (core i7-1165g7 | 8gb | 512gb | intel iris xe | 14 inch fhd | win 11 | warm gold | phiên bản mới win 11),1.4 kg,intel iris xe,21890000,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv0534tu-4p5g3pa-core-i7-1165g7-8gb-512gb-intel-iris-xe-14-inch-fhd-win-11-warm-gold-phien-ban-moi-win-11_id38863.html,laptop,bàn phím tiêu chuẩn,,-,32.5 x 21.66 x 1.7 cm,512gb,512gb pcie nvme m.2 ssd,14 inch fhd,,,intel wireless-ac 9560 wi-fi 5 (2x2),"1 usb 3.1 gen 1 type-c (data transfer only, 5 gb/s signaling rate); 2 usb 3.0",hp pavilion 14-dv0534tu 4p5g3pa,2 khe,warm gold,,,,8gb
62a5d56a5e7f53608f8c7ec3,windows 10 home,intel core i5-1035g1,laptop acer,https://anphat.com.vn/media/product/75_35954_laptop_acer_aspire_3_a315_57g_524z_nx_hzrsv_009.jpg,laptop acer aspire 3 a315-57g-524z nx.hzrsv.009,1.9 kg,nvidia® geforce® mx330 2gb,13999000,https://www.anphatpc.com.vn/laptop-acer-aspire-3-a315-57g-524z-nx.hzrsv.009.html,laptop,bàn phím tiêu chuẩn,1x rj-45 - gigabit ethernet,không,363.4 (w) x 250.5 (d) x 19.95 (h) mm,4gb onboard + 4gb cắm sẵn ddr4 2400mhz,512gb pcie nvme ssd cắm sẵn,"15.6 inch fhd(1920 x 1080), 60hz acer comfyview led lcd",,,"intel® wireless-ac 9461/9462 , 802.11a/b/g/n/ac wireless lan",1 x usb 2.02 x usb 3.2 gen 1,aspire 3 a315-57g-524z nx.hzrsv.009,1 onboard + 1 khe,đen,,,,
62a5d56b5e7f53608f8c7ec4,,a,laptop apple,https://anphat.com.vn/media/product/75_37211_macbook_air_gray_2020_3_f0e5dc207f2a4f1ea120bbe7a4aeaf71_master.jpg,laptop apple macbook air 13.3 inch z124000de xám (apple m1),1.29 kg,l,29490000,https://www.anphatpc.com.vn/laptop-apple-macbook-air-13.3-inch-z124000de-xam-apple-m1_id37211.html,laptop,bàn phím tiêu chuẩn,,,-,p,256gb ssd,e,không có,,802.11ax wi-fi 6 wireless networkingieee 802.11a/b/g/n/ac compatible,thunderbolt 3 (up to 40gb/s)usb 4 (up to 40gb/s)usb 3.1 gen 2 (up to 10gb/s),apple macbook air 13.3 inch z124000de xám (apple m1),,m,,,,p
62a5d56b5e7f53608f8c7ec5,win 10,core i5-1135g7,laptop acer,https://anphat.com.vn/media/product/75_39381_laptop_acer_swift_3_sf314_511_59lv__nx_abnsv_001.jpg,laptop acer swift 3 sf314-511-59lv- nx.abnsv.001 (core i5-1135g7 | 16gb | 512gb | intel iris xe | 14 inch fhd | win 10 | bạc),1.19 kg,intel iris xe,19990000,https://www.anphatpc.com.vn/laptop-acer-swift-3-sf314-511-59lv-nx.abnsv.001-core-i5-1135g7-16gb-512gb-intel-iris-xe-14-inch-fhd-win-10-bac.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím,,-,322.8 (w) x 212.2 (d) x 15.9 (h) mm,512gb,512gb pcie nvme ssd,14 inch fhd,không,,intel® wireless wi-fi 6 ax201,usb type-c port supporting: • usb 3.2 gen 2 (up to 10 gbps) • displayport over usb-c • thunderbolt 4 • usb charging 5 v; 3 a2xusb 3.2 gen 1 ports with one featuring power-off usb charging,acer swift 3 sf314-511-59lv- nx.abnsv.001,"(không có khe ram, chỉ có ram onboard, không nâng cấp được)",bạc,,,,16gb
62a5d56b5e7f53608f8c7ec6,win 11,core i5-11320h,laptop dell,https://anphat.com.vn/media/product/75_40238_dell_inspiron_14_5410_p143g001bsl__4_.jpg,laptop dell inspiron 14 5410 p143g001bsl (core i5-11320h | 8gb | 512gb | intel iris xe | 14 inch fhd | win 11 | office | bạc),1.461 kg,intel iris xe,22990000,https://www.anphatpc.com.vn/laptop-dell-inspiron-14-5410-p143g001bsl.html,laptop,bàn phím tiêu chuẩn,,-,321.27 x 212.8 x 17.99 mm,512gb,,14 inch fhd,không có,8gb(4gbx2),intel® wi-fi 6 2x2 (gig+),2 usb 3.2 gen 1 type-a port1 usb 3.2 gen 2x2 type-c™ with displayport™ and power delivery for i3 and i5 processor (thunderbolt 4 for i7 processor),dell inspiron 14 5410 p143g001bsl,2x so-dimm socket,office,,,,8gb
62a5d56c5e7f53608f8c7ec7,win 11,core™ i7-11800h,laptop msi,https://anphat.com.vn/media/product/75_40540_laptop_msi_katana_gf76_11ue_446vn__1_.jpg,laptop msi katana gf76 11ue 446vn (core™ i7-11800h | 16gb | 512gb | rtx 3060 6gb | 17.3 inch fhd | win 11 | đen),2.6 kg,rtx 3060 6gb,32790000,https://www.anphatpc.com.vn/laptop-msi-katana-gf76-11ue-446vn.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím (single backlight kb(red)),gb lan,-,398 x 273 x 25.2 mm,512gb,,17.3 inch fhd,không có,16gb(8gb*2),802.11 ax wi-fi 6,1x type-c usb3.2 gen12x type-a usb3.2 gen11x type-a usb2.0,msi katana gf76 11ue 446vn,2 khe,đen,,,,16gb
62a5d56c5e7f53608f8c7ec8,win 11,ryzen 5-5600u,laptop hp,https://anphat.com.vn/media/product/75_40344_laptop_hp_envy_x360_convert_13_ay1057au_601q9pa_22.jpg,laptop hp envy x360 convert 13-ay1057au 601q9pa (ryzen 5-5600u | 8gb | 256gb | amd radeon™ | 13.3 inch fhd | win 11 | đen),1.3 kg,amd radeon™,23790000,https://www.anphatpc.com.vn/laptop-hp-envy-x360-convert-13-ay1057au-601q9pa_id40344.html,laptop,bàn phím tiêu chuẩn,,1 microsd media card reader,30.65 x 19.46 x 1.64 cm,256gb,,13.3 inch fhd,không có,8gb(onboard),realtek wi-fi 6 (2x2),"1 superspeed usb type-c® 10gbps signaling rate (usb power delivery, displayport™ 1.4, hp sleep and charge); 1 superspeed usb type-a 5gbps signaling rate (hp sleep and charge); 1 superspeed usb type-a 5gbps signaling rate;",hp envy x360 convert 13-ay1057au 601q9pa,-,đen,,,,8gb
